1) DIABETES Dataset

		Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
		2			0.7894736842105263		0.6973684210526315		0.7540983606557377		0.631578947368421		0.5822784810126582		0.42857142857142855
		32			0.7792397660818714		0.75					0.7183908045977011		0.8064516129032258		0.5506607929515418		0.6578947368421053
		2			0.7821637426900585		0.7631578947368421		0.7365591397849462		0.75					0.5780590717299579		0.5357142857142857
		4			0.7792397660818714		0.7763157894736842		0.7388888888888889		0.8235294117647058		0.5611814345991561		0.5
		2			0.7631578947368421		0.8289473684210527		0.7068062827225131		0.8235294117647058		0.5601659751037344		0.5833333333333334
		8			0.7777777777777778		0.7236842105263158		0.7415730337078652		0.6363636363636364		0.5546218487394958		0.5185185185185185
		2			0.7660818713450293		0.7763157894736842		0.7074468085106383		0.7272727272727273		0.5588235294117647		0.5925925925925926
		2			0.7602339181286549		0.8552631578947368		0.7091836734693877		0.7222222222222222		0.5650406504065041		0.6842105263157895
		2			0.7792397660818714		0.7236842105263158		0.7368421052631579		0.5714285714285714		0.5809128630705395		0.5
		16			0.7792397660818714		0.7894736842105263		0.7395833333333334		0.6666666666666666		0.5843621399176955		0.5454545454545454
		
Mean:				0.7755847953216375		0.7684210526315789		0.7289372430934169		0.7159043207754883		0.5676106786943048		0.5546289967342599
Stddev:				0.009278476006169493	0.048523918196278354	0.016927127311906823	0.08783310071299918		0.012554145236462467	0.07697433048644678
		

2) BREAST CANCER Dataset

		Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
		128			0.9940476190476191		0.9642857142857143		0.994413407821229		0.9655172413793104		0.9888888888888889		0.9655172413793104
		0.25		0.9841269841269841		1.0						0.9891891891891892		1						0.9682539682539683		1
		1024		0.996031746031746		1.0						1.0						1						0.9894179894179894		1
		2			0.9900793650793651		0.9285714285714286		0.994413407821229		1						0.978021978021978		0.8518518518518519
		1024		0.996031746031746		1.0						1.0						1						0.9895287958115183		1
		1024		0.996031746031746		0.9464285714285714		1.0						0.94					0.9947368421052631		0.8947368421052632
		1024		1.0						0.8928571428571429		0.9947368421052631		0.92					1.0						0.8518518518518519
		1024		0.998015873015873		0.9464285714285714		1.0						0.94					0.9947368421052631		0.8947368421052632
		2			0.9880952380952381		0.9642857142857143		1.0						0.93					0.979381443298969		0.9333333333333333
		1024		0.998015873015873		0.9821428571428571		0.9895833333333334		1						0.9948453608247423		0.9333333333333333
				
Mean:				0.9940476190476191		0.9625					0.9962336180270244		0.9707739463601532		0.9877812108728581		0.9325361295960207
Stdev:				0.005036886974777724	0.03516441782795696		0.0043924821954583965	0.03276977346939306		0.009718450991682203	0.05832916542398589
		

3) SPAMBASE Dataset

		Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
		1024		0.9357487922705314		0.9065217391304348		0.933968253968254		0.8820224719101124		0.900796080832823		0.8770949720670391
		8			0.9326086956521739		0.9152173913043479		0.9281663516068053		0.9141104294478528		0.8992673992673993		0.8563218390804598
		1024		0.93743961352657		0.9173913043478261		0.933375235700817		0.9197530864197531		0.9065934065934066		0.8563218390804598
		1024		0.9342995169082126		0.9195652173913044		0.9262038774233896		0.9375					0.9058103975535168		0.847457627118644
		512			0.9323671497584541		0.9326086956521739		0.9296131896005073		0.9147727272727273		0.8966360856269113		0.9096045197740112
		1024		0.9350241545893719		0.9304347826086956		0.9317166560306318		0.9202127659574468		0.9001233045622689		0.9105263157894737
		16			0.9292270531400966		0.9456521739130435		0.928891736066624		0.9428571428571428		0.8884803921568627		0.9166666666666666
		1024		0.9326086956521739		0.9326086956521739		0.9308578745198464		0.9105263157894737		0.8947692307692308		0.9251336898395722
		512			0.9321256038647343		0.9434782608695652		0.924492385786802		0.9513513513513514		0.8999382334774553		0.9119170984455959
		1024		0.9326086956521739		0.9369565217391305		0.9311224489795918		0.9318181818181818		0.8951563458001226		0.9060773480662984
		
Mean:								0.9334057971014492		0.9280434782608695		0.9298408009683269		0.9224924472824042		0.8987570876639998		0.8917121915928221
Std dev:							0.002291646997441086	0.012859001409295983	0.0030057918018752596	0.019673201421509138	0.0053521968973595695	0.029260342359769768
