1) BREAST CANCER DATASET

			Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
			0.0625		0.9821428571428571		0.9642857142857143		0.9885714285714285		1.0						0.9611111111111111		0.9310344827586207
			0.5			0.9861111111111112		1.0						0.989247311827957		1.0						0.9735449735449735		1.0
			0.03125		0.9761904761904762		0.9821428571428571		0.988950276243094		1.0						0.9470899470899471		0.95
			0.0625		0.9821428571428571		0.9642857142857143		0.988950276243094		0.9629629629629629		0.9560439560439561		0.9629629629629629
			0.25		0.9841269841269841		1.0						0.9942857142857143		1.0						0.9685863874345549		1.0
			0.03125		0.9801587301587301		0.9642857142857143		0.9893048128342246		1.0						0.9578947368421052		0.8947368421052632
			0.03125		0.9861111111111112		0.9285714285714286		0.9891304347826086		0.96					0.9615384615384616		0.8888888888888888
			0.125		0.9861111111111112		0.9642857142857143		1.0						0.9473684210526315		0.9736842105263158		0.9473684210526315
			8.0			0.9900793650793651		0.9464285714285714		0.9893048128342246		0.875					0.979381443298969		0.9333333333333333
			0.125		0.9841269841269841		0.9821428571428571		0.9947643979057592		1.0						0.9690721649484536		0.9333333333333333
			
Mean					0.9837301587301587		0.9696428571428571		0.9913032873495538		0.9745331384015594		0.9647947392378848		0.9441658264435033
Std dev:				0.0038336975519019977	0.022351170661331642	0.003797517512698298	0.040662861595529474	0.009791450735445434	0.037325026943778226



2)DIABETES FATASET

		Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
		2.0			0.7894736842105263		0.6973684210526315		0.7540983606557377		0.631578947368421		0.5822784810126582		0.42857142857142855
		0.25		0.7777777777777778		0.75					0.7167630057803468		0.8064516129032258		0.5462555066079295		0.6578947368421053
		0.0625		0.7821637426900585		0.75					0.7471910112359551		0.7368421052631579		0.5611814345991561		0.5
		0.5			0.7792397660818714		0.7763157894736842		0.7388888888888889		0.8235294117647058		0.5611814345991561		0.5
		0.125		0.7690058479532164		0.8289473684210527		0.726775956284153		0.8235294117647058		0.5518672199170125		0.5833333333333334
		8			0.7763157894736842		0.7236842105263158		0.7401129943502824		0.6363636363636364		0.5504201680672269		0.5185185185185185
		0.03125		0.7763157894736842		0.7894736842105263		0.7456647398843931		0.7619047619047619		0.542016806722689		0.5925925925925926
		0.0625		0.7616959064327485		0.8552631578947368		0.7243243243243244		0.7222222222222222		0.5447154471544715		0.6842105263157895
		0.5			0.783625730994152		0.7236842105263158		0.746031746031746		0.5714285714285714		0.5850622406639004		0.5
		0.03125		0.7748538011695907		0.7763157894736842		0.7458563535911602		0.6666666666666666		0.5555555555555556		0.45454545454545453
		
Mean:				0.777046783625731		0.7671052631578947		0.7385707381026988		0.7180517347650075		0.5580534294899756		0.5419666590719222
Std dev:			0.007713056428530419	0.04885972786538113		0.01199361872772514		0.08859924990564567		0.014955263302951802	0.08451244871206003
		


3) SPAMBASE Dataset

		Best C		Training Accuracy 		Testing Accuracy		Training Precision		Testing Precision		Training Recall			Testing Recall
		512			0.938647342995169		0.9130434782608695		0.9344675488342785		0.8839779005524862		0.9081445192896509		0.8938547486033519
		512			0.9333333333333333		0.9239130434782609		0.9337579617834395		0.9161676646706587		0.894993894993895		0.8793103448275862
		128			0.9384057971014492		0.9195652173913044		0.937381404174573		0.9254658385093167		0.9047619047619048		0.8563218390804598
		8			0.9357487922705314		0.9195652173913044		0.9296924042686755		0.926829268292683		0.9058103975535168		0.8587570621468926
		128			0.9359903381642513		0.9326086956521739		0.9329962073324906		0.9195402298850575		0.9027522935779817		0.903954802259887
		2			0.9333333333333333		0.9347826086956522		0.929757343550447		0.925531914893617		0.8976572133168927		0.9157894736842105
		8			0.9326086956521739		0.9434782608695652		0.9317166560306318		0.9325842696629213		0.8946078431372549		0.9222222222222223
		32			0.9345410628019324		0.9326086956521739		0.9350899742930592		0.9148936170212766		0.8953846153846153		0.9197860962566845
		128			0.9347826086956522		0.9369565217391305		0.932649134060295		0.9456521739130435		0.8980852378011118		0.9015544041450777
		512			0.9333333333333333		0.9304347826086956		0.9307056579783852		0.9209039548022598		0.897608828939301		0.9005524861878453
				
Mean:				0.9350724637681159		0.928695652173913		0.9328214292306275		0.921154683220332		0.8999806748756125		0.8952103479414217
Std dev:			0.0021265795837963424	0.009381189758076676	0.0024599714148193573	0.015809854265566973	0.004951452282589212	0.023565903006187394
		

 
